category,title,director,image_director,cast1,image_cast1,cast2,image_cast2,cast3,image_cast3,image_title
Oscar,Gladiator,Ridley Scott,https://image.tmdb.org/t/p/w500/97SO7H0UlS3racqjeW5JTy8c6GM.jpg,Russell Crowe,https://image.tmdb.org/t/p/w500/fbzD4utSGJlsV8XbYMLoMdEZ1Fc.jpg,Joaquin Phoenix,https://image.tmdb.org/t/p/w500/u38k3hQBDwNX0VA22aQceDp9Iyv.jpg,Connie Nielsen,https://image.tmdb.org/t/p/w500/lvQypTfeH2Gn2PTbzq6XkT2PLmn.jpg,https://image.tmdb.org/t/p/w500/ty8TGRuvJLPUmAR1H1nRIsgwvim.jpg
Oscar,Erin Brockovich,Steven Soderbergh,https://image.tmdb.org/t/p/w500/y8JlSDcQzd7gAaKyxFpExupMwDz.jpg,Julia Roberts,https://image.tmdb.org/t/p/w500/AhQMyQ10kz5g8Y3Fp54GPhgDxQS.jpg,Albert Finney,https://image.tmdb.org/t/p/w500/8WCFO9lMHel1bHVYl5lj8pYEw2s.jpg,Aaron Eckhart,https://image.tmdb.org/t/p/w500/u5JjnRMr9zKEVvOP7k3F6gdcwT6.jpg,https://image.tmdb.org/t/p/w500/jEMvWBWVjndZT0vJnLrRWi9ajea.jpg
Oscar,Traffic,Steven Soderbergh,https://image.tmdb.org/t/p/w500/y8JlSDcQzd7gAaKyxFpExupMwDz.jpg,Michael Douglas,https://image.tmdb.org/t/p/w500/kVYGPIZowzXLEQfAGUNOqKjAbBb.jpg,Benicio del Toro,https://image.tmdb.org/t/p/w500/s1EVFX10YJZTcvkAAq4AcPniS3t.jpg,Catherine Zeta-Jones,https://image.tmdb.org/t/p/w500/iwNMWV5OJjgZ2pPsNWzOKxZwmV7.jpg,https://image.tmdb.org/t/p/w500/v6YrfR1e2OUAYbXrJ7hv3EiGNcg.jpg
Oscar,Training Day,Antoine Fuqua,https://image.tmdb.org/t/p/w500/rPqqpDp0quYlmBiiMndzq2VdFgJ.jpg,Denzel Washington,https://image.tmdb.org/t/p/w500/tRYHzK6WmxOCrqeO3OnEUAF5ied.jpg,Ethan Hawke,https://image.tmdb.org/t/p/w500/slO6aoxA5Pwiy42yt8Fxz5bm1kH.jpg,Scott Glenn,https://image.tmdb.org/t/p/w500/keBKcMPojtRTi5ImLXOoKDmDbqU.jpg,https://image.tmdb.org/t/p/w500/bUeiwBQdupBLQthMCHKV7zv56uv.jpg
Oscar,Monster's Ball,Marc Forster,https://image.tmdb.org/t/p/w500/kxmrePc7bRGEcK6YGWKOjTGOe9o.jpg,Billy Bob Thornton,https://image.tmdb.org/t/p/w500/i5EKWHuXokznIDMy2prTXzRmklI.jpg,Heath Ledger,https://image.tmdb.org/t/p/w500/5Y9HnYYa9jF4NunY9lSgJGjSe8E.jpg,Halle Berry,https://image.tmdb.org/t/p/w500/9aLI0LSi7cbieyiskOdsBaneKmp.jpg,https://image.tmdb.org/t/p/w500/rQeufx98gKH4CCeVw57KT1Fd0gr.jpg
Oscar,The Pianist,Roman Polanski,https://image.tmdb.org/t/p/w500/60UYC6apdoC8VBh62WCkZ2LPGPk.jpg,Adrien Brody,https://image.tmdb.org/t/p/w500/qBc7ahQrpVpcllaZ5hkivsOEb3C.jpg,Thomas Kretschmann,https://image.tmdb.org/t/p/w500/p1XYiekXjaUxHMztBALrez1Ud4J.jpg,Frank Finlay,https://image.tmdb.org/t/p/w500/fO7CYAaGydu9d3s5numYRi1BRvL.jpg,https://image.tmdb.org/t/p/w500/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg
Oscar,The Pianist,Roman Polanski,https://image.tmdb.org/t/p/w500/60UYC6apdoC8VBh62WCkZ2LPGPk.jpg,Adrien Brody,https://image.tmdb.org/t/p/w500/qBc7ahQrpVpcllaZ5hkivsOEb3C.jpg,Thomas Kretschmann,https://image.tmdb.org/t/p/w500/p1XYiekXjaUxHMztBALrez1Ud4J.jpg,Frank Finlay,https://image.tmdb.org/t/p/w500/fO7CYAaGydu9d3s5numYRi1BRvL.jpg,https://image.tmdb.org/t/p/w500/2hFvxCCWrTmCYwfy7yum0GKRi3Y.jpg
Oscar,Mystic River,Clint Eastwood,https://image.tmdb.org/t/p/w500/8TwdCfeOZH7ucRlfLZ6wObxa7cO.jpg,Sean Penn,https://image.tmdb.org/t/p/w500/9glqNTVpFpdN1nFklKaHPUyCwR6.jpg,Tim Robbins,https://image.tmdb.org/t/p/w500/djLVFETFTvPyVUdrd7aLVykobof.jpg,Kevin Bacon,https://image.tmdb.org/t/p/w500/rjX2Oz3tCZMfSwOoIAyEhdtXnTE.jpg,https://image.tmdb.org/t/p/w500/hCHVDbo6XJGj3r2i4hVjKhE0GKF.jpg
Oscar,Monster,Patty Jenkins,https://image.tmdb.org/t/p/w500/9zdvRFn2iapRqG6OzrE7E92ByHw.jpg,Charlize Theron,https://image.tmdb.org/t/p/w500/ie1KbeYFG5E0GVr1QP7tDNuXvga.jpg,Christina Ricci,https://image.tmdb.org/t/p/w500/m2cY5Er1loPgHkZYdFMEz6YeiwG.jpg,Bruce Dern,https://image.tmdb.org/t/p/w500/24aH1ahmFFImPiBA5N4NhemshH9.jpg,https://image.tmdb.org/t/p/w500/aevmNtJCNG4ZlfEeEGZ79frMUes.jpg
Oscar,The Lord of the Rings: The Return of the King,Peter Jackson,https://image.tmdb.org/t/p/w500/bNc908d59Ba8VDNr4eCcm4G1cR.jpg,Elijah Wood,https://image.tmdb.org/t/p/w500/7UKRbJBNG7mxBl2QQc5XsAh6F8B.jpg,Ian McKellen,https://image.tmdb.org/t/p/w500/coWjgMEYJjk2OrNddlXCBm8EIr3.jpg,Viggo Mortensen,https://image.tmdb.org/t/p/w500/vH5gVSpHAMhDaFWfh0Q7BG61O1y.jpg,https://image.tmdb.org/t/p/w500/rCzpDGLbOoPwLjy3OAm5NUPOTrC.jpg
