title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Twister,movie,"Action, Adventure, Thriller",1996,tt0117998,6.5,241983,
Ben-Hur,movie,"Adventure, Drama",1959,tt0052618,8.1,260686,
Oldboy,movie,"Action, Drama, Mystery",2003,tt0364569,8.3,669186,
"Harry Potter and the Sorcerer's Stone",movie,"Adventure, Family, Fantasy",2001,tt0241527,7.7,895036,
"Harry Potter and the Chamber of Secrets",movie,"Adventure, Family, Fantasy",2002,tt0295297,7.4,721748,
"Harry Potter and the Prisoner of Azkaban",movie,"Adventure, Family, Fantasy",2004,tt0304141,7.9,721570,
"Harry Potter and the Goblet of Fire",movie,"Adventure, Family, Fantasy",2005,tt0330373,7.7,710199,
"Harry Potter and the Order of the Phoenix",movie,"Action, Adventure, Family",2007,tt0373889,7.5,659630,
"Pearl Harbor",movie,"Action, Drama, Romance",2001,tt0213149,6.2,359395,
"Pulp Fiction",movie,"Crime, Drama",1994,tt0110912,8.9,2306013,
"The Bridges of Madison County",movie,"Drama, Romance",1995,tt0112579,7.6,92061,
"The Piano",movie,"Drama, Music, Romance",1993,tt0107822,7.5,97671,
"The Sixth Sense",movie,"Drama, Mystery, Thriller",1999,tt0167404,8.2,1088983,
"The Last Emperor",movie,"Biography, Drama, History",1987,tt0093389,7.7,114863,
"V for Vendetta",movie,"Action, Drama, Sci-Fi",2005,tt0434409,8.1,1207395,
Faces,movie,Drama,1968,tt0062952,7.4,12201,
"From Dusk Till Dawn",movie,"Action, Crime, Horror",1996,tt0116367,7.2,351817,
"Harry Potter and the Half-Blood Prince",movie,"Action, Adventure, Family",2009,tt0417741,7.6,621379,
"Gone with the Wind",movie,"Drama, Romance, War",1939,tt0031381,8.2,343537,
"Home Alone",movie,"Comedy, Family",1990,tt0099785,7.7,690528,
"Home Alone 2: Lost in New York",movie,"Adventure, Comedy, Crime",1992,tt0104431,6.9,425357,
"Little Miss Sunshine",movie,"Comedy, Drama",2006,tt0449059,7.8,532933,
"Mr. & Mrs. Smith",movie,"Action, Comedy, Crime",2005,tt0356910,6.5,561992,
"Roman Holiday",movie,"Comedy, Drama, Romance",1953,tt0046250,8,151432,
Se7en,movie,"Crime, Drama, Mystery",1995,tt0114369,8.6,1884917,
"Austin Powers: The Spy Who Shagged Me",movie,"Action, Adventure, Comedy",1999,tt0145660,6.7,254745,
JFK,movie,"Drama, History, Thriller",1991,tt0102138,8,175024,
"Moulin Rouge!",movie,"Drama, Musical, Romance",2001,tt0203009,7.6,305713,
"Enemy at the Gates",movie,"Action, Drama, War",2001,tt0215750,7.5,283579,
